FMID,season,seasonOpenning,seasonClosing,seasonTime
1018261,September - October,September ,October,Wed: 2:00 PM-6:00 PM;
1018318,June - September,June , September,Sat: 9:00 AM-1:00 PM;
1009364,,,,
1010691,April - November,April ,November,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;
1002454,July - November,July ,November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;
1011100,May - October,May ,October,Tue: 3:30 PM-6:30 PM;
1009845,June - November,June ,November,Tue: 10:00 AM-7:00 PM;
1005586,May - October,May ,October,Fri: 8:00 AM-11:00 AM;
1008071,May - November,May ,November,Sat: 9:00 AM-1:00 PM;
1012710,April - November,April ,November,Sat: 9:00 AM-1:00 PM;
1019157,June - October,June ,October,Sun: 9:00 AM-1:30 PM;
1018792,July - November,July ,November,Wed: 2:30 PM-6:30 PM;
1016782,June - November,June ,November,Tue: 8:00 AM-6:00 PM;
1003877,June - September,June , September,Wed:3:00 pm - 7:00 pm;
1016784,June - ,June , ,Thu: 3:00 PM-6:30 PM;
1010968,June - November,June ,November,Thu: 3:00 PM-7:00 PM;
1009994,June - September,June , September,Sat: 8:00 AM-11:00 AM;
1018365,May - September,May , September,Sat: 8:00 AM-12:00 PM;
1012790,September - June,September , June,Sat: 8:30 AM-1:00 PM;
1012158,January - December,January , December,Wed: 11:00 AM-6:00 PM;Thu: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;Sat: 11:00 AM-6:00 PM;
1010873,June - October,June ,October,Fri: 7:30 AM-12:00 PM;
1005309,June - November,June ,November,Tue: 2:00 PM-6:00 PM;
1000709,June - November,June ,November,Sat: 8:30 AM-2:00 PM;
1011881,May - October,May ,October,Sun: 9:00 AM-1:00 PM;
1010966,June - November,June ,November,Wed: 1:00 PM-5:00 PM;
1005299,June - November,June ,November,Tue: 2:00 PM-6:00 PM;
1010994,May - September,May , September,Thu: 3:30 PM-6:30 PM;
1009959,June - December,June , December,Thu: 11:00 AM-3:00 PM;Fri: 11:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;Sun: 11:00 AM-3:00 PM;
1004950,November - November,November ,November,Fri: 4:00 PM-10:00 PM;Sat: 10:00 AM-3:00 PM;
1010775,January - January,January ,January,Sun: 9:00 AM-1:00 PM;
1018656,June - October,June ,October,Sun: 10:00 AM-2:00 PM;
1005636,January - December,January , December,Sat: 7:00 AM-12:00 PM;
1005310,June - November,June ,November,Thu: 2:00 PM-6:00 PM;
1018389,June - September,June , September,Thu: 4:00 PM-6:30 PM;
1012280,June - August,June , August,Thu: 4:00 PM-9:00 PM;
1011213,,,,Tue: 3:00 PM-7:00 PM;
1010965,June - November,June ,November,Tue: 1:00 PM-5:00 PM;
1006234,,,,
1006494,,,,
1005304,June - November,June ,November,Wed: 1:00 PM-5:00 PM;
1000060,April - December,April , December,Wed: 8:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;
1005306,June - November,June ,November,Wed: 2:00 PM-6:00 PM;
1018965,May - December,May , December,Sat: 9:00 AM-2:00 PM;
1000061,January - December,January , December,Sun: 8:00 AM-5:00 PM;
1000062,January - December,January , December,Sat: 9:00 AM-2:30 PM;
1008391,June - August,June , August,Thu: 3:00 PM-6:00 PM;
1001961,May - October,May ,October,Tue:4:00 PM - 6:00 PM;Sat:7:30 AM - 12:00 PM;
1000063,June - November,June ,November,Sun: 9:00 AM-4:00 PM;
1000064,January - December,January , December,Fri: 8:00 AM-2:00 PM;
1011989,May - September,May , September,Tue: 4:00 PM-7:00 PM;
1000986,June - August,June , August,Sun: 9:00 AM-2:00 PM;
1010617,,,,
1009004,January - December,January , December,Wed: 12:00 PM-6:00 PM;Sat: 11:00 AM-3:00 PM;
1001887,May - September,May , September,Tue: 5:00 PM-8:00 PM;
1007585,,,,
1004573,June - October,June ,October,Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;
1009028,June - July,June , July,Fri: 3:00 PM-6:00 PM;
1004598,May - October,May ,October,Tue:1:30 PM - 5:30 PM;
1003865,,,,
1002947,,,,
1019473,May - September,May , September,Sun: 10:00 AM-3:00 PM;
1004031,,,,
1010487,November - December,November , December,Sat: 10:00 AM-12:00 PM;
1000065,January - December,January , December,Sat: 8:00 AM-2:00 PM;
1006988,July - September,July , September,Sat: 9:00 AM-12:00 PM;
1007070,,,,
1011313,January - December,January , December,Sun: 12:00 AM-4:00 PM;
1004762,October - ,October , ,Sat: 7:00 AM-12:00 PM;
1009543,,,,
1002108,,,,
1007575,,,,
1005122,,,,
1008461,,,,Mon: 9:00 AM-5:00 PM;Tue: 9:00 AM-5:00 PM;Wed: 9:00 AM-5:00 PM;Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-5:00 PM;Sat: 9:00 AM-5:00 PM;
1011180,June,June ,,Sun: 9:00 AM-1:00 PM;
1003469,June - October,June ,October,sun:10:00 AM - 1:00 PM;
1018003,June - September,June , September,Sat: 9:00 AM-1:00 PM;
1007519,,,,
1001393,April - November,April ,November,Wed: 7:00 AM-;Sat: 7:00 AM-;
1001083,June - October,June ,October,Tue: 11:00 AM-4:00 PM;
1006969,,,,
1010467,June - September,June , September,Sun: 8:00 AM-11:30 PM;
1019431,May - September,May , September,Sat: 9:00 AM-1:00 PM;
1019351,May - October,May ,October,Thu: 11:30 AM-3:30 PM;Sat: 8:00 AM-1:00 PM;
1011322,May,May ,,Thu: 2:00 PM-6:00 PM;
1010354,July - September,July , September,Sun: 11:00 AM-2:00 PM;
1018278,,,,Sat: 8:00 AM-1:00 PM;
1008961,January - December,January , December,Mon: 8:00 AM-4:00 PM;Tue: 8:00 AM-4:00 PM;Wed: 8:00 AM-4:00 PM;Thu: 8:00 AM-4:00 PM;Fri: 8:00 AM-1:00 PM;Sun: 12:00 PM-4:00 PM;
1005109,,,,
1002464,,,,
1005741,,,,
1005272,,,,
1012288,May - October,May ,October,Sat: 9:00 AM-1:00 PM;
1011214,,,,Wed: 11:00 AM-2:00 PM;
1008667,January - December,January , December,Thu: 4:00 PM-7:00 PM;
1019203,August - August,August, August,Thu: 9:00 AM-5:00 PM;
1007586,,,,
1012233,May - October,May ,October,Mon: 7:30 AM-5:30 PM;Tue: 7:30 AM-5:30 PM;Wed: 7:30 AM-5:30 PM;Thu: 7:30 AM-5:30 PM;Fri: 7:30 AM-5:30 PM;Sat: 7:00 AM-5:30 PM;
1003562,January - December,January , December,
1011830,June - September,June , September,Sun: 8:00 AM-11:00 AM;
1000212,,,,
1005258,January - December,January , December,Mon: 10:00 AM-11:00 AM;
1008054,January - December,January , December,Sat: 8:00 AM-3:00 PM;Sun: 8:00 AM-3:00 PM;
1007542,,,,
1011967,September - November,September ,November,Thu: 9:00 AM-5:00 PM;Fri: 9:00 AM-11:00 PM;Sat: 9:00 AM-11:00 PM;Sun: 6:00 PM-;
1001801,,,,
1005061,,,,
1004086,October - July,October , July,Sat: 8:00 AM-12:00 PM;
1008612,January - December,January , December,Sun: 8:30 AM-12:00 PM;
1006312,,,,
1009019,January - December,January , December,Tue: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;
1004846,May - ,May , ,Tue: 10:00 AM-5:00 PM;Wed: 10:00 AM-5:00 PM;Thu: 10:00 AM-5:00 PM;Fri: 10:00 AM-5:00 PM;Sat: 10:00 AM-5:00 PM;Sun: -5:00 PM;
1018304,January - December,January , December,Sun: 9:00 AM-1:00 PM;
1011033,July - October,July ,October,Wed: 5:00 PM-6:00 PM;
1004789,January - December,January , December,Sat: 8:30 AM-12:00 PM;
1004070,July - October,July ,October,Sat: 8:00 AM-1:00 PM;
1004425,May - December,May , December,Sat:8:00 AM - 2:00 PM;
1002175,April - November,April ,November,Sat: 9:00 AM-1:00 PM;
1019371,May - October,May ,October,Sun: 2:00 PM-5:00 PM;
1019389,May - September,May , September,Sat: 8:30 AM-1:00 PM;
1011108,May - October,May ,October,Wed: 4:00 PM-6:00 PM;
1004886,,,,
1010559,May - October,May ,October,Wed: 8:30 AM-1:00 PM;Sat: 8:30 AM-1:00 PM;
1010407,May - November,May ,November,Sat: 7:00 AM-12:00 PM;
